date,open,high,low,close,volume,vwap
2013-09-01 20:00:00,1640.25,1643.5,1639.0,1642.5,34192,1641.059026965372
2013-09-02 06:00:00,1642.5,1647.25,1640.25,1646.75,86420,1644.524641286739
2013-09-02 16:00:00,1646.75,1648.5,1645.25,1647.5,67997,1647.118464785211
2013-09-03 02:00:00,1647.5,1649.0,1645.25,1648.5,42717,1647.3746400730388
2013-09-03 12:00:00,1648.25,1650.0,1633.25,1634.0,1265363,1643.3597710696456
2013-09-03 22:00:00,1634.0,1640.0,1630.75,1638.5,816454,1635.5508304815703
2013-09-04 08:00:00,1638.5,1642.25,1635.0,1637.0,147865,1638.0530517701957
2013-09-04 18:00:00,1637.0,1655.25,1635.25,1654.25,1440633,1648.7938730752385
2013-09-05 04:00:00,1654.5,1656.5,1651.0,1653.0,84231,1653.8892836366658
2013-09-05 14:00:00,1652.75,1658.25,1650.5,1656.0,956508,1654.789683933642
2013-09-06 00:00:00,1656.0,1656.0,1648.5,1652.25,223764,1653.2236597486637
2013-09-06 10:00:00,1652.25,1663.5,1638.75,1656.5,1403325,1651.1728468102542
2013-09-06 20:00:00,1656.5,1664.0,1652.5,1654.0,1092291,1658.3683677243519
2013-09-07 06:00:00,,,,,0,
2013-09-07 16:00:00,,,,,0,
2013-09-08 02:00:00,,,,,0,
2013-09-08 12:00:00,,,,,0,
2013-09-08 22:00:00,1652.0,1658.0,1652.0,1656.5,23930,1655.6705808608442
2013-09-09 08:00:00,1656.75,1659.75,1656.0,1658.25,118528,1657.7571016974891
2013-09-09 18:00:00,1658.25,1672.25,1657.75,1671.25,1283833,1665.8227205173882
2013-09-10 04:00:00,1671.25,1677.75,1669.0,1676.5,98941,1673.5811038901973
2013-09-10 14:00:00,1676.5,1683.0,1675.75,1681.5,1323609,1680.1404406437248
2013-09-11 00:00:00,1681.5,1684.0,1679.75,1680.75,366705,1681.9960772282898
2013-09-11 10:00:00,1680.75,1683.5,1677.75,1680.0,582496,1680.419253522771
2013-09-11 20:00:00,1680.0,1690.5,1680.0,1687.75,973391,1685.2606881510103
2013-09-12 06:00:00,1687.75,1690.0,1685.25,1687.5,83956,1687.223596288532
2013-09-12 16:00:00,1687.5,1690.0,1681.25,1685.25,926230,1685.741441650562
2013-09-13 02:00:00,1685.5,1685.75,1674.0,1676.0,28753,1678.3611797029876
2013-09-13 12:00:00,1676.0,1682.25,1674.75,1679.5,520984,1678.772283313883
2013-09-13 22:00:00,1679.5,1683.75,1678.75,1682.75,211235,1680.7948244845788
2013-09-14 08:00:00,,,,,0,
2013-09-14 18:00:00,,,,,0,
2013-09-15 04:00:00,,,,,0,
2013-09-15 14:00:00,,,,,0,
2013-09-16 00:00:00,1693.0,1703.75,1692.0,1700.25,98298,1699.1462593338624
2013-09-16 10:00:00,1700.25,1702.5,1691.75,1694.5,582027,1696.4720678765761
2013-09-16 20:00:00,1694.25,1698.5,1688.0,1689.0,708960,1692.521689517039
2013-09-17 06:00:00,1689.25,1691.25,1687.75,1689.5,67239,1689.2249103942652
2013-09-17 16:00:00,1689.5,1699.75,1688.5,1699.25,806884,1696.0698709479925
2013-09-18 02:00:00,1699.25,1701.0,1698.25,1699.5,32172,1699.4682643292304
2013-09-18 12:00:00,1699.25,1701.75,1693.25,1695.25,585542,1696.9522263133986
2013-09-18 22:00:00,1695.0,1723.25,1695.0,1720.5,1347641,1714.2410677250098
2013-09-19 08:00:00,1720.5,1726.75,1718.75,1721.75,225658,1722.7774198122822
2013-09-19 18:00:00,1721.75,1723.75,1713.25,1716.5,1354251,1718.0165792751861
2013-09-20 04:00:00,1716.5,1717.5,1714.25,1716.5,49723,1715.899538442974
2013-09-20 14:00:00,1716.5,1719.5,1704.0,1705.75,1237341,1712.0959410138353
2013-09-21 00:00:00,1705.75,1707.0,1701.25,1703.75,431258,1703.3510775452282
